SKU Muestra,Type,Life,Category,Safety factor,Forecast error M,Lead time (m),RLT error (%),Safety stock (days)
SKU240,HARMONIZED,50,Nail Makeup,2.33,1.22,0.97,0.3,20.94
SKU241,HARMONIZED,50,Face Makeup,1.48,0.33,1.1,0.2,8.85
SKU242,HARMONIZED,50,Face Makeup,1.48,0.72,1.1,0.2,8.85
SKU243,HARMONIZED,50,Face Makeup,1.88,3.04,1.1,0.33,18.81
SKU244,HARMONIZED,50,Face Makeup,1.48,0.87,1.1,0.2,8.85
SKU245,HARMONIZED,50,Face Makeup,2.33,0.89,1.1,0.33,23.26
SKU246,HARMONIZED,50,Face Makeup,2.33,1.17,1.1,0.33,23.26
SKU247,HARMONIZED,50,Face Makeup,2.33,2.77,1.1,0.33,23.26
SKU248,HARMONIZED,50,Face Makeup,2.33,1.12,1.1,0.33,23.26
SKU249,HARMONIZED,50,Nail Makeup,1.88,5.19,1.13,0.3,16.93
SKU250,HARMONIZED,50,Nail Makeup,2.33,0.72,0.97,0.3,20.94
SKU251,HARMONIZED,50,Nail Makeup,1.88,0.24,1.03,0.3,16.93
SKU252,HARMONIZED,50,Nail Makeup,1.88,2.07,0.97,0.3,16.93
SKU253,HARMONIZED,50,Nail Makeup,2.33,2.42,0.97,0.3,20.94
SKU254,HARMONIZED,50,Nail Makeup,1.88,2.36,0.97,0.3,16.93
SKU255,HARMONIZED,50,Nail Makeup,1.88,2.4,0.97,0.3,16.93
SKU256,HARMONIZED,50,Nail Makeup,2.33,1.16,0.97,0.3,20.94
SKU257,HARMONIZED,50,Nail Makeup,1.88,1.98,0.97,0.3,16.93
SKU258,HARMONIZED,50,Nail Makeup,2.33,0.51,1.03,0.3,20.94
SKU259,HARMONIZED,50,Nail Makeup,2.33,0.48,1.03,0.3,20.94
SKU260,HARMONIZED,50,Nail Makeup,1.48,1.07,1.03,0.3,13.28
SKU261,HARMONIZED,50,Nail Makeup,1.48,0.58,0.97,0.33,14.76
SKU262,HARMONIZED,50,Nail Makeup,1.48,0.7,0.97,0.33,14.76
SKU263,HARMONIZED,50,Lip Makeup,2.33,0.35,1.1,0.2,13.96
SKU264,HARMONIZED,50,Lip Makeup,1.88,0.31,1.1,0.2,11.28
SKU265,HARMONIZED,50,Lip Makeup,2.33,0.48,1.1,0.2,13.96
SKU266,HARMONIZED,50,Lip Makeup,1.88,0.21,1.1,0.2,11.28
SKU267,HARMONIZED,50,Eye Makeup,2.33,0.34,1.1,0.33,23.26
SKU268,HARMONIZED,50,Eye Makeup,2.33,0.21,1.1,0.33,23.26
SKU269,HARMONIZED,50,Eye Makeup,1.88,0.37,1.8,0.3,16.93
SKU270,HARMONIZED,50,Eye Makeup,1.88,0.42,3.37,0.3,16.93
SKU271,HARMONIZED,50,Eye Makeup,1.48,0.4,1.1,0.17,7.38
SKU272,HARMONIZED,50,Eye Makeup,1.48,0.45,1.1,0.17,7.38
SKU273,HARMONIZED,50,Face Makeup,1.88,0.37,1.1,0.33,18.81
SKU274,HARMONIZED,50,Face Makeup,2.33,0.42,1.1,0.33,23.26
SKU275,HARMONIZED,50,Face Makeup,2.33,0.37,1.1,0.4,27.92
SKU276,HARMONIZED,50,Face Makeup,2.33,0.36,1.1,0.4,27.92
SKU277,HARMONIZED,50,Face Makeup,2.33,0.47,1.1,0.4,27.92
SKU278,HARMONIZED,50,Face Makeup,2.33,0.57,1.1,0.4,27.92
SKU279,HARMONIZED,50,Face Makeup,2.33,0.32,1.1,0.33,23.26
SKU280,HARMONIZED,50,Face Makeup,2.33,0.36,1.1,0.33,23.26
SKU281,HARMONIZED,50,Face Makeup,2.33,0.4,1.1,0.33,23.26
SKU282,HARMONIZED,50,Face Makeup,2.33,0.39,1.1,0.33,23.26
SKU283,HARMONIZED,50,Face Makeup,2.33,0.33,1.1,0.33,23.26
SKU284,HARMONIZED,50,Face Makeup,2.33,0.31,1.1,0.33,23.26
SKU285,HARMONIZED,50,Face Makeup,2.33,0.28,1.1,0.33,23.26
SKU286,HARMONIZED,50,Face Makeup,1.88,0.48,1.1,0.33,18.81
SKU287,HARMONIZED,50,Nail Makeup,1.88,0.48,0.97,0.3,16.93
SKU288,HARMONIZED,50,Nail Makeup,1.88,0.56,0.97,0.3,16.93
